g,r,v,z_plus,z_minus,p_plus,p_minus,abs_E_plus,abs_E_minus,worst_case,identity
0.17844000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.22440883360000008,0.15303283360000003,0.22440883360000008,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17888,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.22553405440000002,0.15398205440000007,0.22553405440000002,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17932,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.22665966240000002,0.1549316624,0.22665966240000002,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17976,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.22778565760000002,0.1558816576,0.22778565760000002,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.1802,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.22891203999999998,0.15683203999999995,0.22891203999999998,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18064000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.23003880960000012,0.15778280960000007,0.23003880960000012,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18108000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.23116596640000003,0.1587339664000001,0.23116596640000003,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18152000000000001,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.23229351040000007,0.1596855104,0.23229351040000007,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18196,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.23342144160000006,0.16063744160000004,0.23342144160000006,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.1824,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.23454976,0.16158975999999997,0.23454976,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18284,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.23567846560000005,0.16254246560000002,0.23567846560000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18328,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2368075584,0.16349555840000002,0.2368075584,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18372000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.23793703840000008,0.16444903840000002,0.23793703840000008,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18416000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.23906690560000005,0.16540290560000004,0.23906690560000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18460000000000001,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.24019716000000002,0.16635716,0.24019716000000002,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18504,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.24132780160000006,0.16731180160000003,0.24132780160000006,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18548,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2424588304,0.16826683039999996,0.2424588304,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18592,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.24359024640000004,0.1692222464,0.24359024640000004,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18636000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.24472204960000005,0.1701780496000001,0.24472204960000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18680000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2458542400000001,0.17113424000000005,0.2458542400000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18724000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.24698681760000007,0.17209081760000006,0.24698681760000007,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.18768,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.24811978240000004,0.17304778240000002,0.24811978240000004,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
