stratum,endpoint,contrast,contrast_label,estimate,missing_lower,missing_upper,p_value,n_paired,kind,registered_threshold,least_favourable_pass
sealed32,U,R1_DN_CO,R1: DN−CO,0.03225806451612903,0.0,0.03125,0.998650013499865,31,superiority,0.1,False
sealed32,U,R1_DN_N0,R1: DN−N0,0.044444444444444446,0.01041666666666663,0.10416666666666663,0.981020189798102,30,superiority,0.1,False
sealed32,A_FT,S_DN_UF,S: DN−UF,0.041666666666666664,-0.15625,0.09375,0.1921580784192158,24,equivalence,0.1,False
sealed32,A_FT,C_DN_UF,C: DN−UF,0.0,-0.03125,0.09375,0.999590004099959,28,superiority,0.15,False
sealed32,A_FT,C_MINUS_S,C−S,-0.045454545454545456,-0.125,0.25,0.966370336296637,22,superiority,0.15,False
sealed32,A_FT,R0_DN_UF,R0: DN−UF,-0.07407407407407407,-0.125,0.03125,0.36106638933610663,27,equivalence,0.1,False
sealed32,A_FT,R1_DN_UF,R1: DN−UF,0.03571428571428571,0.0,0.125,0.956250437495625,28,superiority,0.15,False
sealed32,A_FT,R1_MINUS_R0,R1−R0,0.125,-0.03125,0.25,0.5606243937560624,24,superiority,0.15,False
sealed32,A_FT,C_DN_X,C: DN−X,0.0,-0.0625,0.1875,1.0,24,superiority,0.15,False
sealed32,A_FT,C_DN_CO,C: DN−CO,0.0,-0.03125,0.03125,0.995460045399546,30,superiority,0.1,False
sealed32,A_FT,C_DN_N0,C: DN−N0,0.06666666666666667,0.03125,0.09375,0.6973530264697353,30,superiority,0.1,False
sealed32,A_FT,R1_DN_X,R1: DN−X,0.03225806451612903,0.0,0.03125,0.999920000799992,31,superiority,0.15,False
sealed32,A_FT,R1_DN_CO,R1: DN−CO,0.0,-0.03125,0.0,0.997130028699713,31,superiority,0.1,False
sealed32,A_FT,R1_DN_N0,R1: DN−N0,0.0,-0.03125,0.0625,0.995020049799502,30,superiority,0.1,False
sealed32,P,S_DN_UF,S: DN−UF,0.0,-0.09375,0.15625,0.03809961900380996,24,equivalence,0.1,False
sealed32,P,C_DN_UF,C: DN−UF,0.03571428571428571,0.0,0.125,0.999630003699963,28,superiority,0.15,False
sealed32,P,C_MINUS_S,C−S,0.045454545454545456,-0.15625,0.21875,0.992690073099269,22,superiority,0.15,False
sealed32,P,R0_DN_UF,R0: DN−UF,0.0,-0.0625,0.09375,9.99990000099999e-06,27,equivalence,0.1,True
sealed32,P,R1_DN_UF,R1: DN−UF,-0.03571428571428571,-0.0625,0.0625,1.0,28,superiority,0.15,False
sealed32,P,R1_MINUS_R0,R1−R0,-0.041666666666666664,-0.15625,0.125,1.0,24,superiority,0.15,False
sealed32,P,C_DN_X,C: DN−X,0.041666666666666664,0.0,0.25,0.997430025699743,24,superiority,0.15,False
sealed32,P,C_DN_CO,C: DN−CO,0.0,-0.03125,0.03125,1.0,30,superiority,0.1,False
sealed32,P,C_DN_N0,C: DN−N0,0.0,-0.03125,0.03125,1.0,30,superiority,0.1,False
sealed32,P,R1_DN_X,R1: DN−X,-0.03225806451612903,-0.0625,-0.03125,1.0,31,superiority,0.15,False
sealed32,P,R1_DN_CO,R1: DN−CO,0.0,-0.03125,0.0,0.996930030699693,31,superiority,0.1,False
sealed32,P,R1_DN_N0,R1: DN−N0,-0.03333333333333333,-0.0625,0.03125,1.0,30,superiority,0.1,False
sealed32,ORDERED_O,S_DN_UF,S: DN−UF,0.125,-0.125,0.125,0.5574144258557414,24,equivalence,0.1,False
sealed32,ORDERED_O,C_DN_UF,C: DN−UF,0.03571428571428571,0.0,0.125,0.9087509124908751,28,superiority,0.15,False
sealed32,ORDERED_O,C_MINUS_S,C−S,-0.045454545454545456,-0.125,0.25,0.93810061899381,22,superiority,0.15,False
sealed32,ORDERED_O,R0_DN_UF,R0: DN−UF,-0.1111111111111111,-0.15625,0.0,0.5141848581514185,27,equivalence,0.1,False
sealed32,ORDERED_O,R1_DN_UF,R1: DN−UF,0.0,-0.03125,0.09375,0.973560264397356,28,superiority,0.15,False
sealed32,ORDERED_O,R1_MINUS_R0,R1−R0,0.125,-0.03125,0.25,0.5610343896561034,24,superiority,0.15,False
sealed32,ORDERED_O,C_DN_X,C: DN−X,0.041666666666666664,-0.03125,0.21875,0.9137608623913761,24,superiority,0.15,False
sealed32,ORDERED_O,C_DN_CO,C: DN−CO,-0.03333333333333333,-0.0625,0.0,0.99660003399966,30,superiority,0.1,False
sealed32,ORDERED_O,C_DN_N0,C: DN−N0,0.06666666666666667,0.03125,0.09375,0.6618633813661864,30,superiority,0.1,False
sealed32,ORDERED_O,R1_DN_X,R1: DN−X,0.06451612903225806,0.03125,0.0625,0.8969410305896941,31,superiority,0.15,False
sealed32,ORDERED_O,R1_DN_CO,R1: DN−CO,0.03225806451612903,0.0,0.03125,0.8219817801821981,31,superiority,0.1,False
sealed32,ORDERED_O,R1_DN_N0,R1: DN−N0,0.03333333333333333,0.0,0.09375,0.8142118578814211,30,superiority,0.1,False
