stratum,channel,contrast,contrast_label,estimate,missing_lower,missing_upper,p_value,n_paired,kind,registered_threshold,least_favourable_pass
main48,R,R1_DN_UF,R1: DN−UF,0.7999999999999999,0.5791666666666666,0.8083333333333332,9.99990000099999e-06,38,superiority,0.15,True
main48,R,R1_DN_X,R1: DN−X,0.09473684210526315,-0.04166666666666663,0.16666666666666652,0.7857921420785792,38,superiority,0.15,False
main48,R,R1_MINUS_R0,R1−R0,0.09374999999999999,-0.13333333333333341,0.2833333333333332,0.7665423345766542,32,superiority,0.15,False
main48,R,S_DN_UF,S: DN−UF,0.7255813953488371,0.6333333333333333,0.7374999999999999,1.0,43,equivalence,0.1,False
main48,A_MINUS_R,C_DN_CO,C: DN−CO,-0.65,-0.7083333333333334,-0.375,1.0,40,cross_channel,0.05,False
main48,A_MINUS_R,C_DN_N0,C: DN−N0,-0.5121951219512195,-0.5833333333333334,-0.2916666666666667,1.0,41,cross_channel,0.05,False
main48,A_MINUS_R,C_DN_UF,C: DN−UF,-0.6631578947368422,-0.7333333333333334,-0.31666666666666665,1.0,38,cross_channel,0.05,False
main48,A_MINUS_R,C_DN_X,C: DN−X,0.13513513513513511,-0.125,0.3333333333333333,0.17851821481785182,37,cross_channel,0.05,False
main48,A_MINUS_R,C_MINUS_S,C−S,0.07058823529411766,-0.24166666666666667,0.3416666666666666,0.4036759632403676,34,cross_channel,0.05,False
main48,A_MINUS_R,R1_DN_CO,R1: DN−CO,-0.575609756097561,-0.6375000000000001,-0.3458333333333334,1.0,41,cross_channel,0.05,False
main48,A_MINUS_R,R1_DN_N0,R1: DN−N0,-0.5428571428571429,-0.6,-0.35000000000000003,1.0,42,cross_channel,0.05,False
main48,A_MINUS_R,R1_DN_UF,R1: DN−UF,-0.7513513513513514,-0.8083333333333332,-0.35000000000000003,1.0,37,cross_channel,0.05,False
main48,A_MINUS_R,R1_DN_X,R1: DN−X,0.02702702702702702,-0.20833333333333334,0.25,0.5979640203597965,37,cross_channel,0.05,False
main48,A_MINUS_R,R1_MINUS_R0,R1−R0,-0.1933333333333333,-0.49583333333333335,0.25416666666666665,0.9613803861961381,30,cross_channel,0.05,False
main48,R_MINUS_A,C_DN_CO,C: DN−CO,0.65,0.375,0.7083333333333334,9.99990000099999e-06,40,cross_channel,0.05,False
main48,R_MINUS_A,C_DN_N0,C: DN−N0,0.5121951219512195,0.2916666666666667,0.5833333333333334,9.99990000099999e-06,41,cross_channel,0.05,False
main48,R_MINUS_A,C_DN_UF,C: DN−UF,0.6631578947368422,0.31666666666666665,0.7333333333333334,9.99990000099999e-06,38,cross_channel,0.05,False
main48,R_MINUS_A,C_DN_X,C: DN−X,-0.13513513513513511,-0.3333333333333333,0.125,0.977890221097789,37,cross_channel,0.05,False
main48,R_MINUS_A,C_MINUS_S,C−S,-0.07058823529411766,-0.3416666666666666,0.24166666666666667,0.926610733892661,34,cross_channel,0.05,False
main48,R_MINUS_A,R1_DN_CO,R1: DN−CO,0.575609756097561,0.3458333333333334,0.6375000000000001,1.999980000199998e-05,41,cross_channel,0.05,False
main48,R_MINUS_A,R1_DN_N0,R1: DN−N0,0.5428571428571429,0.35000000000000003,0.6,9.99990000099999e-06,42,cross_channel,0.05,False
main48,R_MINUS_A,R1_DN_UF,R1: DN−UF,0.7513513513513514,0.35000000000000003,0.8083333333333332,9.99990000099999e-06,37,cross_channel,0.05,False
main48,R_MINUS_A,R1_DN_X,R1: DN−X,-0.02702702702702702,-0.25,0.20833333333333334,0.7861121388786112,37,cross_channel,0.05,False
main48,R_MINUS_A,R1_MINUS_R0,R1−R0,0.1933333333333333,-0.25416666666666665,0.49583333333333335,0.14624853751462485,30,cross_channel,0.05,False
sealed16,A_SIB,C_DN_CO,C: DN−CO,0.0,0.0,0.0,0.8046019539804602,16,superiority,0.1,False
sealed16,A_SIB,C_DN_N0,C: DN−N0,0.0625,0.0625,0.0625,0.5935740642593574,16,superiority,0.1,False
sealed16,A_SIB,C_DN_UF,C: DN−UF,0.06666666666666667,0.0625,0.125,0.7688723112768873,15,superiority,0.15,False
sealed16,A_SIB,C_DN_X,C: DN−X,0.0625,0.0625,0.0625,0.9263507364926351,16,superiority,0.15,False
sealed16,A_SIB,C_MINUS_S,C−S,0.0,0.125,0.3125,0.7212827871721282,13,superiority,0.15,False
sealed16,A_SIB,R0_DN_UF,R0: DN−UF,0.125,0.125,0.125,0.7066629333706663,16,equivalence,0.1,False
sealed16,A_SIB,R1_DN_CO,R1: DN−CO,0.06666666666666667,0.0625,0.125,0.5409245907540925,15,superiority,0.1,False
sealed16,A_SIB,R1_DN_N0,R1: DN−N0,0.1875,0.1875,0.1875,0.14013859861401387,16,superiority,0.1,True
sealed16,A_SIB,R1_DN_UF,R1: DN−UF,0.0,0.0,0.0625,0.9273707262927371,15,superiority,0.15,False
sealed16,A_SIB,R1_DN_X,R1: DN−X,0.125,0.125,0.125,0.6010239897601024,16,superiority,0.15,False
sealed16,A_SIB,R1_MINUS_R0,R1−R0,-0.13333333333333333,-0.125,-0.0625,0.969290307096929,15,superiority,0.15,False
